Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason
2025-11-26,"CLFD , SNBR , TSBK",100.0,,,0.0,MANUAL BUY MOO - Filled
2025-11-26,CLFD,100.0,25.55,2555.0,0.0,MANUAL BUY MOO - Filled
